Anio,Mes,Consumo,Prediccion Consumo,Importacion,Prediccion Importacion,Fechas
2000,1,634667.06,,,,2000-01-01
2000,2,642380.66,1798.839770153406,,,2000-02-01
2000,3,699807.25,619.6233730415915,,,2000-03-01
2000,4,586803.98,-11848.14511206618,,,2000-04-01
2000,5,656948.2,19580.96221031203,,,2000-05-01
2000,6,570919.88,-2673.630640515694,,,2000-06-01
2000,7,576436.02,23233.64275617395,,,2000-07-01
2000,8,593770.77,18498.05701640332,,,2000-08-01
2000,9,590145.4,12505.53171100114,,,2000-09-01
2000,10,641113.36,13561.15471440087,,,2000-10-01
2000,11,657086.3,-2427.348471111683,,,2000-11-01
2000,12,673282.26,-5593.30776901732,,,2000-12-01
2001,1,569328.79,-9330.719795826866,566101.99,,2001-01-01
2001,2,597749.83,25273.32241807056,489525.8,2537.410672828963,2001-02-01
2001,3,736085.97,13328.5873848037,575559.68,43537.97093206416,2001-03-01
2001,4,606257.66,-31125.49873643849,437745.42,-28899.17952438041,2001-04-01
2001,5,664082.66,16251.69529428371,552609.13,88860.08089744634,2001-05-01
2001,6,559333.03,-5345.029451208815,497855.26,-23251.05500986096,2001-06-01
2001,7,589452.73,31268.71521706739,302350.02,32291.2552438835,2001-07-01
2001,8,568546.37,18442.89049521234,464159.13,200492.5542066944,2001-08-01
2001,9,533108.39,25753.51902886913,321952.94,30462.91677703767,2001-09-01
2001,10,603371.18,36792.12604063805,438989.55,161268.6971867725,2001-10-01
2001,11,626156.18,11457.35221804671,440245.35,36474.1933282043,2001-11-01
2001,12,664190.18,5222.87016294038,479983.27,36688.23375345427,2001-12-01
2002,1,726672.6,-6800.625704608319,500041.32,-2204.553587301718,2002-01-01
2002,2,694344.78,-26465.76640655312,686923.83,-17473.42771644177,2002-02-01
2002,3,656379.29,-12529.85322340855,432538.46,-190458.0861459228,2002-03-01
2002,4,683646.17,1038.285546556814,424667.36,70458.23428733987,2002-04-01
2002,5,707165.47,-8471.048894287873,497781.66,71777.89073255296,2002-05-01
2002,6,667820.71,-15135.45053075351,496826.62,864.3725724851176,2002-06-01
2002,7,656761.6,102.4567398692852,636727.84,4506.639159618382,2002-07-01
2002,8,657099.74,3844.531517811701,346225.0,-127874.0956817484,2002-08-01
2002,9,653664.6,4014.827823240263,638933.22,164301.0767696436,2002-09-01
2002,10,653053.27,5725.386319888739,703749.81,-129603.7115323357,2002-10-01
2002,11,671401.33,6337.153214315533,573289.5,-177266.0297792891,2002-11-01
2002,12,676192.45,372.7878349785706,678749.64,-39398.36900453261,2002-12-01
2003,1,769843.3,-314.5781919681322,797344.38,-137790.0582884191,2003-01-01
2003,2,709783.58,-32305.77576691272,765912.66,-241255.3019428185,2003-02-01
2003,3,786484.49,-7862.247909481521,693942.31,-194389.3189081603,2003-03-01
2003,4,709626.39,-34955.83139907119,873103.1,-112045.6005704457,2003-04-01
2003,5,755982.05,-4873.996404920879,625190.08,-278595.4242123729,2003-05-01
2003,6,641540.08,-21787.98420565671,671882.83,-17799.23662224149,2003-06-01
2003,7,631704.12,20577.29794926663,822014.55,-63479.21503046079,2003-07-01
2003,8,613428.55,21954.01775256291,494087.13,-202160.7051397034,2003-08-01
2003,9,582989.47,28172.33067265764,614913.68,131496.6042761099,2003-09-01
2003,10,722763.6,38416.91048012285,433084.99,5611.51197436059,2003-10-01
2003,11,639828.39,-11914.4275723045,627189.78,188584.2776325369,2003-11-01
2003,12,652872.45,20992.46444813234,745524.88,-11011.2817056748,2003-12-01
2004,1,656987.4,14967.87225078157,762385.45,-120142.8903397205,2004-01-01
2004,2,659540.43,13962.5651519784,460947.5,-128441.8453598341,2004-02-01
2004,3,746236.84,13421.57366341758,772128.26,175508.4730717882,2004-03-01
