Anio,Mes,Consumo,Prediccion Consumo,Importacion,Prediccion Importacion,Fechas
2000,1,202645.2,,,,2000-01-01
2000,2,205530.96,1515.759508462264,,,2000-02-01
2000,3,229499.56,886.6213323373158,,,2000-03-01
2000,4,210680.4,-13687.83019240381,,,2000-04-01
2000,5,208164.34,5360.871703349455,,,2000-05-01
2000,6,195088.74,12660.32999635456,,,2000-06-01
2000,7,204556.77,12711.92679617467,,,2000-07-01
2000,8,218388.51,2446.0152985474,,,2000-08-01
2000,9,213906.96,-9839.952820393512,,,2000-09-01
2000,10,213606.65,264.7670961441195,,,2000-10-01
2000,11,209227.48,5211.11485926465,,,2000-11-01
2000,12,230020.7,6117.441360051333,,,2000-12-01
2001,1,164547.35,-8575.821359870723,177776.5,,2001-01-01
2001,2,174838.81,37089.70272373444,123115.99,1796.233438103176,2001-02-01
2001,3,201992.65,23856.92852810795,161726.42,41154.0777389877,2001-03-01
2001,4,198683.39,-18865.22681459978,127338.74,-15678.63178183126,2001-04-01
2001,5,182504.09,-6079.194962002644,168730.19,33690.87451996261,2001-05-01
2001,6,201379.48,15066.467024,152899.09,-23095.71316583279,2001-06-01
2001,7,214980.24,-2383.578618376243,136299.13,9853.534831265311,2001-07-01
2001,8,204646.77,-13629.83989087188,139365.07,20789.1912447132,2001-08-01
2001,9,188292.35,4174.490747243988,233643.75,17612.65650681767,2001-09-01
2001,10,225240.95,18122.74775729394,141550.22,-85331.3397548409,2001-10-01
2001,11,210324.95,-14086.31035459151,165841.46,41470.56827891705,2001-11-01
2001,12,223209.95,-2619.168887116044,149217.67,-6234.544041845482,2001-12-01
2002,1,200309.85,990.4713329655569,178585.93,26657.31019471842,2002-01-01
2002,2,183119.34,12662.41917477461,144447.25,-15255.72502497126,2002-02-01
2002,3,212711.71,23931.21183513468,104673.64,34135.27322512546,2002-03-01
2002,4,204765.62,-8942.955572797526,190339.0,67229.98049123156,2002-04-01
2002,5,201083.51,-4079.352714009427,194830.1,-35007.02190132871,2002-05-01
2002,6,187629.42,8865.782136930487,137050.8,-22315.33740542016,2002-06-01
2002,7,201692.64,13446.95643103824,222408.0,41566.36829365035,2002-07-01
2002,8,205240.77,-389.5683467509198,143795.0,-60670.37037036417,2002-08-01
2002,9,177614.8,-5064.14370469558,156956.9,49054.04720811377,2002-09-01
2002,10,203097.24,19652.54870958543,195426.8,13963.7291460733,2002-10-01
