Anio,Mes,Consumo,Prediccion Consumo,Importacion,Prediccion Importacion,Fechas
2000,1,308156.82,,,,2000-01-01
2000,2,307766.31,1313.830097515253,,,2000-02-01
2000,3,331910.29,2011.879481136191,,,2000-03-01
2000,4,315648.08,-10731.47631394333,,,2000-04-01
2000,5,319667.97,2254.757305079715,,,2000-05-01
2000,6,300347.7,2844.137361225559,,,2000-06-01
2000,7,308305.93,13495.89567056534,,,2000-07-01
2000,8,323011.86,9908.479737463707,,,2000-08-01
2000,9,326455.72,-5009.434568032779,,,2000-09-01
2000,10,323843.63,-2568.058048268185,,,2000-10-01
2000,11,320788.08,-1251.465709089973,,,2000-11-01
2000,12,366987.56,4575.58367894715,,,2000-12-01
2001,1,300242.78,-27989.5381502544,373963.96,,2001-01-01
2001,2,301483.4,22364.10712224649,243091.07,1572.152145329834,2001-02-01
2001,3,355572.83,25042.74255666144,312084.38,98448.67638032442,2001-03-01
2001,4,355826.76,-22629.65194471023,285054.89,-20358.29666308966,2001-04-01
2001,5,336040.04,-14789.79239259454,300913.67,27953.79145087613,2001-05-01
2001,6,308804.7,1904.451636339418,333217.19,-383.8338049099111,2001-06-01
2001,7,350501.97,23784.20727714289,195071.86,-32038.14241304075,2001-07-01
2001,8,348414.65,-8733.444528223241,268153.26,139493.7756429702,2001-08-01
2001,9,324393.96,-7329.799173306106,308439.07,17069.8485866772,2001-09-01
2001,10,366261.63,14837.33670510211,305102.28,-20173.61940412705,2001-10-01
2001,11,351890.63,-16208.04100440047,256638.19,-10360.77188318601,2001-11-01
2001,12,403561.63,-4373.965701197994,277145.05,50979.01883495747,2001-12-01
2002,1,368935.53,-33058.66716449595,271479.0,16227.22933532886,2002-01-01
2002,2,348917.79,-8415.070816015326,365657.75,26227.29472624243,2002-02-01
2002,3,385044.97,17824.662953566,246292.6,-91170.77499119593,2002-03-01
2002,4,379741.98,-16138.90074190613,310256.3,78123.84272745864,2002-04-01
2002,5,375054.64,-4572.195134236636,363311.76,-23006.18983984571,2002-05-01
2002,6,371138.59,-1292.144538864331,250123.19,-71799.8072014711,2002-06-01
2002,7,399944.65,5205.699778485108,428842.8,79841.10778976107,2002-07-01
2002,8,392355.62,-15817.31617967866,298280.33,-158423.8460957732,2002-08-01
2002,9,347191.44,-6655.114383567794,331053.7,45020.04548731967,2002-09-01
2002,10,381595.2,27875.48457901483,352055.5,-18098.95078079357,2002-10-01
2002,11,384334.22,2022.566911533711,291188.76,-30501.7707156229,2002-11-01
2002,12,400645.42,-4136.014330289345,440677.81,49297.50792704198,2002-12-01
2003,1,376516.58,-8597.657043733081,425185.5,-143398.4723823043,2003-01-01
2003,2,355760.81,5730.844732355006,443849.85,-86873.93101449322,2003-02-01
2003,3,361880.87,26101.05291379182,363352.66,-102511.053952906,2003-03-01
2003,4,377395.17,13087.47752097834,335444.69,14815.14377594294,2003-04-01
2003,5,390624.27,3908.495961238812,459025.69,39747.16348053032,2003-05-01
2003,6,346941.84,-8624.813416605451,372486.53,-114326.980026352,2003-06-01
2003,7,377178.84,26373.01032158906,400922.97,20691.00466617988,2003-07-01
2003,8,355682.72,2662.578495536814,292365.04,-26954.21344085094,2003-08-01
2003,9,348659.02,13852.47779493808,398192.16,117302.0128422219,2003-09-01
2003,10,392041.78,21766.04278561743,260219.92,-37878.20040720099,2003-10-01
2003,11,330640.23,-15202.07046706586,393951.96,151580.2654341683,2003-11-01
2003,12,391327.66,30724.48699410271,296780.15,-47347.62792696612,2003-12-01
2004,1,381547.72,-10752.15592271174,368235.14,97911.51241355624,2004-01-01
2004,2,339576.46,-10075.54411665302,281891.97,-15158.99954240612,2004-02-01
2004,3,379687.46,31034.57452074233,486880.82,105587.9568369406,2004-03-01
2004,4,357595.81,-6644.360302340718,415426.0,-168177.8185357068,2004-04-01
2004,5,322596.73,11817.86225559489,350052.95,-32920.3916071312,2004-05-01
2004,6,318811.5,34891.25994695899,311238.01,39070.24165912364,2004-06-01
2004,7,346413.66,32443.17796103802,249710.69,80704.3499812469,2004-07-01
2004,8,390304.28,6166.503414853403,434578.12,143922.2317594575,2004-08-01
2004,9,364689.84,-24553.99573790898,420550.29,-103674.087399045,2004-09-01
2004,10,380441.55,-3080.70920547943,366886.3,-50854.09308583479,2004-10-01
2004,11,378498.6,-7144.9289893329,434710.94,16113.84934711002,2004-11-01
2004,12,429109.1,-8236.03039868408,433149.96,-70035.30747467416,2004-12-01
2005,1,321382.14,-34165.96269358411,257867.99,-49145.69386124748,2005-01-01
2005,2,375768.83,38873.88416503268,306660.39,170639.7711361126,2005-02-01
2005,3,410241.93,11010.00493640629,431907.81,73774.3858769654,2005-03-01
2005,4,389737.16,-32551.75721050886,534151.81,-76891.30499374337,2005-04-01
2005,5,343762.52,4059.962904955857,378616.3,-179630.9661820571,2005-05-01
2005,6,351906.82,24587.09644764599,537398.43,43102.22906202779,2005-06-01
2005,7,389172.65,27815.6177127909,363410.9,-171900.8168002627,2005-07-01
2005,8,396871.12,-14799.36969390755,566618.55,85868.09116117231,2005-08-01
2005,9,378887.62,-7472.797961734783,193484.5,-194658.8603843661,2005-09-01
2005,10,328052.56,89.98831590533518,528877.09,314995.1286055121,2005-10-01
2005,11,360869.14,43553.13212909344,348687.81,-178588.2864582391,2005-11-01
2005,12,448688.52,9644.682603527472,360807.0,113215.641036212,2005-12-01
2006,1,382078.88,-50456.01919556106,711860.77,54104.99322702037,2006-01-01
2006,2,367944.25,126.4233458557919,262170.9,-368789.183652129,2006-02-01
2006,3,427567.58,22733.20423957281,408065.34,262320.6285994805,2006-03-01
2006,4,392050.29,-30682.79955887421,421300.82,-2476.876792802228,2006-04-01
2006,5,379832.55,4844.241575392192,312024.7,13930.28725369574,2006-05-01
2006,6,364359.35,13248.1349327085,394014.85,140001.4788359518,2006-06-01
2006,7,392252.91,22712.04692912826,375951.16,14737.38115782278,2006-07-01
2006,8,394585.28,381.9750779134022,313326.86,47592.32759775224,2006-08-01
2006,9,382724.97,-2761.557459229125,525623.15,114779.2911164209,2006-09-01
2006,10,400793.81,9312.889620569427,285505.0,-162035.8167779287,2006-10-01
2006,11,401922.57,-4717.029860139932,428590.5,176747.5868549155,2006-11-01
2006,12,454373.13,-3773.082221583965,395132.09,-49569.18601142422,2006-12-01
2007,1,418412.86,-36357.17424001357,523730.31,22873.25916902782,2007-01-01
2007,2,401425.14,-7257.725622098757,401855.41,-144894.2496483112,2007-02-01
2007,3,454731.09,14328.59354856372,541817.85,40531.24741128643,2007-03-01
2007,4,403732.56,-28522.77452177411,203441.33,-150186.1915579983,2007-04-01
2007,5,426414.71,13570.51243738937,545587.63,302961.1480546986,2007-05-01
2007,6,390991.36,727.5557284804017,441537.39,-191413.1796802562,2007-06-01
2007,7,416497.41,19879.10637212236,451180.82,8256.06907786586,2007-07-01
2007,8,411088.53,7334.744224535138,501840.27,-26088.5151092204,2007-08-01
2007,9,390568.99,1319.982023929319,336120.81,-74719.75060091907,2007-09-01
2007,10,419001.81,24574.52279662946,376377.75,142037.5981497202,2007-10-01
2007,11,417490.77,-4847.040742154638,512550.51,58797.37154383297,2007-11-01
2007,12,438542.79,1322.551752825129,542916.97,-103916.7676240614,2007-12-01
2008,1,403266.74,-14186.57689053099,204788.3,-114172.1902208301,2008-01-01
2008,2,407735.55,14349.13346782524,545139.83,314963.0305572766,2008-02-01
2008,3,424157.28,11922.20905776204,405713.48,-173349.4979376912,2008-03-01
2008,4,399193.53,-3388.542194828911,570256.98,65329.17188507889,2008-04-01
2008,5,390882.63,16457.0786159193,424954.88,-168427.7398765551,2008-05-01
2008,6,337464.32,20580.03926813931,273398.73,57010.36500638741,2008-06-01
2008,7,374847.05,52525.19041426216,384549.7,214783.605590068,2008-07-01
