Anio;Mes;GasolinaSuper;GasolinaRegular;Diesel;Fechas;Super_Arima;Regular_Arima;Diesel_Arima;Super_SARIMAX;Regular_SARIMAX;Diesel_SARIMAX;Super_EXP;Regular_EXP;Diesel_EXP
2000;1;308156.82;202645.2;634667.06;1/01/2000;308156.82;202645.2;634667.06;308156.82;202645.2;634667.06;308156.82;202645.2;634667.06
2000;2;307766.31;205530.96;642380.66;1/02/2000;307766.31;205530.96;642380.66;307766.31;205530.959999999;642380.659999999;307766.31;205530.959999999;642380.659999999
2000;3;331910.29;229499.56;699807.25;1/03/2000;331910.29;229499.56;699807.25;331910.289999999;229499.56;699807.25;331910.289999999;229499.56;699807.25
2000;4;315648.08;210680.4;586803.98;1/04/2000;315648.08;210680.4;586803.98;315648.08;210680.399999999;586803.98;315648.08;210680.399999999;586803.98
2000;5;319667.97;208164.34;656948.2;1/05/2000;319667.97;208164.34;656948.2;319667.97;208164.34;656948.2;319667.97;208164.34;656948.2
2000;6;300347.7;195088.74;570919.88;1/06/2000;300347.7;195088.74;570919.88;300347.7;195088.739999999;570919.88;300347.7;195088.739999999;570919.88
2000;7;308305.93;204556.77;576436.02;1/07/2000;308305.93;204556.77;576436.02;308305.93;204556.77;576436.02;308305.93;204556.77;576436.02
2000;8;323011.86;218388.51;593770.77;1/08/2000;323011.86;218388.51;593770.77;323011.86;218388.509999999;593770.77;323011.86;218388.509999999;593770.77
2000;9;326455.72;213906.96;590145.4;1/09/2000;326455.72;213906.96;590145.4;326455.719999999;213906.959999999;590145.399999999;326455.719999999;213906.959999999;590145.399999999
2000;10;323843.63;213606.65;641113.36;1/10/2000;323843.63;213606.65;641113.36;323843.629999999;213606.649999999;641113.36;323843.629999999;213606.649999999;641113.36
2000;11;320788.08;209227.48;657086.3;1/11/2000;320788.08;209227.48;657086.3;320788.08;209227.479999999;657086.299999999;320788.08;209227.479999999;657086.299999999
2000;12;366987.56;230020.7;673282.26;1/12/2000;366987.56;230020.7;673282.26;366987.56;230020.7;673282.26;366987.56;230020.7;673282.26
2001;1;300242.78;164547.35;569328.79;1/01/2001;300242.78;164547.35;569328.79;300242.779999999;164547.35;569328.789999999;300242.779999999;164547.35;569328.789999999
2001;2;301483.4;174838.81;597749.83;1/02/2001;301483.4;174838.81;597749.83;301483.4;174838.81;597749.829999999;301483.4;174838.81;597749.829999999
2001;3;355572.83;201992.65;736085.970000001;1/03/2001;355572.83;201992.65;736085.970000001;355572.83;201992.649999999;736085.97;355572.83;201992.649999999;736085.97
2001;4;355826.76;198683.39;606257.66;1/04/2001;355826.76;198683.39;606257.66;355826.759999999;198683.39;606257.659999999;355826.759999999;198683.39;606257.659999999
2001;5;336040.04;182504.09;664082.66;1/05/2001;336040.04;182504.09;664082.66;336040.04;182504.09;664082.659999999;336040.04;182504.09;664082.659999999
2001;6;308804.7;201379.48;559333.03;1/06/2001;308804.7;201379.48;559333.03;308804.7;201379.48;559333.03;308804.7;201379.48;559333.03
2001;7;350501.97;214980.24;589452.73;1/07/2001;350501.97;214980.24;589452.73;350501.97;214980.239999999;589452.729999999;350501.97;214980.239999999;589452.729999999
2001;8;348414.65;204646.77;568546.37;1/08/2001;348414.65;204646.77;568546.37;348414.65;204646.77;568546.37;348414.65;204646.77;568546.37
2001;9;324393.96;188292.35;533108.39;1/09/2001;324393.96;188292.35;533108.39;324393.96;188292.35;533108.39;324393.96;188292.35;533108.39
2001;10;366261.63;225240.95;603371.18;1/10/2001;366261.63;225240.95;603371.18;366261.629999999;225240.95;603371.18;366261.629999999;225240.95;603371.18
2001;11;351890.63;210324.95;626156.18;1/11/2001;351890.63;210324.95;626156.18;351890.63;210324.949999999;626156.179999999;351890.63;210324.949999999;626156.179999999
2001;12;403561.63;223209.95;664190.18;1/12/2001;403561.63;223209.95;664190.18;403561.63;223209.95;664190.179999999;403561.63;223209.95;664190.179999999
2002;1;368935.53;200309.85;726672.599999999;1/01/2002;368935.53;200309.85;726672.599999999;368935.53;200309.85;726672.599999999;368935.53;200309.85;726672.599999999
2002;2;348917.79;183119.34;694344.78;1/02/2002;348917.79;183119.34;694344.78;348917.79;183119.34;694344.779999999;348917.79;183119.34;694344.779999999
2002;3;385044.97;212711.71;656379.29;1/03/2002;385044.97;212711.71;656379.29;385044.97;212711.71;656379.29;385044.97;212711.71;656379.29
2002;4;379741.98;204765.62;683646.17;1/04/2002;379741.98;204765.62;683646.17;379741.98;204765.62;683646.17;379741.98;204765.62;683646.17
2002;5;375054.64;201083.51;707165.47;1/05/2002;375054.64;201083.51;707165.47;375054.64;201083.51;707165.47;375054.64;201083.51;707165.47
2002;6;371138.59;187629.42;667820.71;1/06/2002;371138.59;187629.42;667820.71;371138.59;187629.419999999;667820.71;371138.59;187629.419999999;667820.71
2002;7;399944.65;201692.64;656761.6;1/07/2002;399944.65;201692.64;656761.6;399944.649999999;201692.64;656761.6;399944.649999999;201692.64;656761.6
2002;8;392355.62;205240.77;657099.74;1/08/2002;392355.62;205240.77;657099.74;392355.62;205240.77;657099.739999999;392355.62;205240.77;657099.739999999
2002;9;347191.44;177614.8;653664.6;1/09/2002;347191.44;177614.8;653664.6;347191.44;177614.8;653664.599999999;347191.44;177614.8;653664.599999999
2002;10;381595.2;203097.24;653053.27;1/10/2002;381595.2;203097.24;653053.27;381595.2;203097.239999999;653053.27;381595.2;203097.239999999;653053.27
2002;11;384334.22;207629.81;671401.33;1/11/2002;384334.22;207629.81;671401.33;384334.22;207629.81;671401.329999999;384334.22;207629.81;671401.329999999
2002;12;400645.42;199619.27;676192.45;1/12/2002;400645.42;199619.27;676192.45;400645.42;199619.269999999;676192.45;400645.42;199619.269999999;676192.45
2003;1;376516.58;193713.62;769843.3;1/01/2003;376516.58;193713.62;769843.3;376516.579999999;193713.62;769843.299999999;376516.579999999;193713.62;769843.299999999
2003;2;355760.81;184354.61;709783.58;1/02/2003;355760.81;184354.61;709783.58;355760.81;184354.61;709783.579999999;355760.81;184354.61;709783.579999999
2003;3;361880.87;201443.37;786484.49;1/03/2003;361880.87;201443.37;786484.49;361880.869999999;201443.37;786484.489999999;361880.869999999;201443.37;786484.489999999
2003;4;377395.17;219004.31;709626.39;1/04/2003;377395.17;219004.31;709626.39;377395.17;219004.309999999;709626.39;377395.17;219004.309999999;709626.39
2003;5;390624.27;200407.18;755982.050000001;1/05/2003;390624.27;200407.18;755982.050000001;390624.269999999;200407.179999999;755982.05;390624.269999999;200407.179999999;755982.05
2003;6;346941.84;168327.72;641540.08;1/06/2003;346941.84;168327.72;641540.08;346941.84;168327.72;641540.08;346941.84;168327.72;641540.08
2003;7;377178.84;174317.57;631704.12;1/07/2003;377178.84;174317.57;631704.12;377178.84;174317.569999999;631704.119999999;377178.84;174317.569999999;631704.119999999
2003;8;355682.72;171665.05;613428.55;1/08/2003;355682.72;171665.05;613428.55;355682.72;171665.05;613428.55;355682.72;171665.05;613428.55
2003;9;348659.02;174757.95;582989.47;1/09/2003;348659.02;174757.95;582989.47;348659.019999999;174757.95;582989.469999999;348659.019999999;174757.95;582989.469999999
2003;10;392041.78;209314.45;722763.6;1/10/2003;392041.78;209314.45;722763.6;392041.78;209314.45;722763.6;392041.78;209314.45;722763.6
2003;11;330640.23;168510;639828.39;1/11/2003;330640.23;168510;639828.39;330640.229999999;168510;639828.389999999;330640.229999999;168510;639828.389999999
2003;12;391327.66;196081.99;652872.45;1/12/2003;391327.66;196081.99;652872.45;391327.659999999;196081.99;652872.45;391327.659999999;196081.99;652872.45
2004;1;381547.72;203975.57;656987.4;1/01/2004;381547.72;203975.57;656987.4;381547.719999999;203975.57;656987.4;381547.719999999;203975.57;656987.4
2004;2;339576.46;180290.24;659540.43;1/02/2004;339576.46;180290.24;659540.43;339576.459999999;180290.239999999;659540.429999999;339576.459999999;180290.239999999;659540.429999999
2004;3;379687.46;206455.62;746236.84;1/03/2004;379687.46;206455.62;746236.84;379687.46;206455.619999999;746236.84;379687.46;206455.619999999;746236.84
2004;4;357595.81;182379.92;633766.06;1/04/2004;357595.81;182379.92;633766.06;357595.809999999;182379.92;633766.059999999;357595.809999999;182379.92;633766.059999999
2004;5;322596.73;160741.9;556369.7;1/05/2004;322596.73;160741.9;556369.7;322596.729999999;160741.9;556369.7;322596.729999999;160741.9;556369.7
2004;6;318811.5;164782.5;560393.48;1/06/2004;318811.5;164782.5;560393.48;318811.499999999;164782.499999999;560393.479999999;318811.499999999;164782.499999999;560393.479999999
2004;7;346413.66;182642.41;583098.55;1/07/2004;346413.66;182642.41;583098.55;346413.659999999;182642.409999999;583098.55;346413.659999999;182642.409999999;583098.55
2004;8;390304.28;207432.8;699610.800000001;1/08/2004;390304.28;207432.8;699610.800000001;390304.279999999;207432.8;699610.8;390304.279999999;207432.8;699610.8
2004;9;364689.84;194240.55;612639.57;1/09/2004;364689.84;194240.55;612639.57;364689.84;194240.549999999;612639.57;364689.84;194240.549999999;612639.57
2004;10;380441.55;200323.53;619084.79;1/10/2004;380441.55;200323.53;619084.79;380441.55;200323.53;619084.79;380441.55;200323.53;619084.79
2004;11;378498.6;214509.65;705298.16;1/11/2004;378498.6;214509.65;705298.16;378498.6;214509.65;705298.159999999;378498.6;214509.65;705298.159999999
2004;12;429109.1;236733.03;761864.3;1/12/2004;429109.1;236733.03;761864.3;429109.1;236733.029999999;761864.299999999;429109.1;236733.029999999;761864.299999999
2005;1;321382.14;209901.6;724692.360000001;1/01/2005;321382.14;209901.6;724692.360000001;321382.14;209901.6;724692.36;321382.14;209901.6;724692.36
2005;2;375768.83;198775.61;717116.77;1/02/2005;375768.83;198775.61;717116.77;375768.83;198775.609999999;717116.77;375768.83;198775.609999999;717116.77
2005;3;410241.93;231358.58;802139.58;1/03/2005;410241.93;231358.58;802139.58;410241.929999999;231358.58;802139.58;410241.929999999;231358.58;802139.58
2005;4;389737.16;225644.89;803996.93;1/04/2005;389737.16;225644.89;803996.93;389737.159999999;225644.889999999;803996.93;389737.159999999;225644.889999999;803996.93
2005;5;343762.52;187048.26;715360.44;1/05/2005;343762.52;187048.26;715360.44;343762.519999999;187048.259999999;715360.439999999;343762.519999999;187048.259999999;715360.439999999
2005;6;351906.82;202161.79;681743.36;1/06/2005;351906.82;202161.79;681743.36;351906.82;202161.79;681743.359999999;351906.82;202161.79;681743.359999999
2005;7;389172.65;213821.77;678614.47;1/07/2005;389172.65;213821.77;678614.47;389172.649999999;213821.769999999;678614.47;389172.649999999;213821.769999999;678614.47
2005;8;396871.12;212696.38;693681.13;1/08/2005;396871.12;212696.38;693681.13;396871.119999999;212696.379999999;693681.13;396871.119999999;212696.379999999;693681.13
2005;9;378887.62;196776.87;666258.37;1/09/2005;378887.62;196776.87;666258.37;378887.619999999;196776.869999999;666258.37;378887.619999999;196776.869999999;666258.37
2005;10;328052.56;192270.24;589830.24;1/10/2005;328052.56;192270.24;589830.24;328052.56;192270.239999999;589830.24;328052.56;192270.239999999;589830.24
2005;11;360869.14;185251.12;701255.47;1/11/2005;360869.14;185251.12;701255.47;360869.14;185251.12;701255.47;360869.14;185251.12;701255.47
2005;12;448688.52;241035.13;775027.2;1/12/2005;448688.52;241035.13;775027.2;448688.52;241035.13;775027.2;448688.52;241035.13;775027.2
2006;1;382078.88;211152.72;750946.360000001;1/01/2006;382078.88;211152.72;750946.360000001;382078.879999999;211152.719999999;750946.36;382078.879999999;211152.719999999;750946.36
2006;2;367944.25;200551.4;734530.76;1/02/2006;367944.25;200551.4;734530.76;367944.249999999;200551.399999999;734530.759999999;367944.249999999;200551.399999999;734530.759999999
2006;3;427567.58;233082.86;875047.289999999;1/03/2006;427567.58;233082.86;875047.289999999;427567.58;233082.859999999;875047.289999999;427567.58;233082.859999999;875047.289999999
2006;4;392050.29;223479.45;711185.23;1/04/2006;392050.29;223479.45;711185.23;392050.29;223479.45;711185.23;392050.29;223479.45;711185.23
2006;5;379832.55;222710.9;734289.15;1/05/2006;379832.55;222710.9;734289.15;379832.549999999;222710.899999999;734289.149999999;379832.549999999;222710.899999999;734289.149999999
2006;6;364359.35;196511.22;672428.87;1/06/2006;364359.35;196511.22;672428.87;364359.35;196511.22;672428.869999999;364359.35;196511.22;672428.869999999
2006;7;392252.91;210255.7;684438.7;1/07/2006;392252.91;210255.7;684438.7;392252.91;210255.699999999;684438.7;392252.91;210255.699999999;684438.7
2006;8;394585.28;211202.14;707219.69;1/08/2006;394585.28;211202.14;707219.69;394585.279999999;211202.14;707219.69;394585.279999999;211202.14;707219.69
2006;9;382724.97;204369.99;650791.38;1/09/2006;382724.97;204369.99;650791.38;382724.97;204369.99;650791.379999999;382724.97;204369.99;650791.379999999
2006;10;400793.81;203061.39;683543.13;1/10/2006;400793.81;203061.39;683543.13;400793.81;203061.39;683543.13;400793.81;203061.39;683543.13
2006;11;401922.57;205541.91;739181.99;1/11/2006;401922.57;205541.91;739181.99;401922.569999999;205541.91;739181.99;401922.569999999;205541.91;739181.99
2006;12;454373.13;233936.83;776330.26;1/12/2006;454373.13;233936.83;776330.26;454373.13;233936.829999999;776330.259999999;454373.13;233936.829999999;776330.259999999
2007;1;418412.86;216560.79;810372.66;1/01/2007;418412.86;216560.79;810372.66;418412.859999999;216560.789999999;810372.659999999;418412.859999999;216560.789999999;810372.659999999
2007;2;401425.14;204991.91;799394.6;1/02/2007;401425.14;204991.91;799394.6;401425.139999999;204991.909999999;799394.599999999;401425.139999999;204991.909999999;799394.599999999
2007;3;454731.09;239019.91;956680.189999999;1/03/2007;454731.09;239019.91;956680.189999999;454731.089999999;239019.909999999;956680.189999999;454731.089999999;239019.909999999;956680.189999999
2007;4;403732.56;217536.23;758988.580000001;1/04/2007;403732.56;217536.23;758988.580000001;403732.559999999;217536.23;758988.58;403732.559999999;217536.23;758988.58
2007;5;426414.71;224400.73;811703.69;1/05/2007;426414.71;224400.73;811703.69;426414.71;224400.73;811703.69;426414.71;224400.73;811703.69
2007;6;390991.36;217473.91;720896.769999999;1/06/2007;390991.36;217473.91;720896.769999999;390991.359999999;217473.909999999;720896.769999999;390991.359999999;217473.909999999;720896.769999999
2007;7;416497.41;219874.23;721550.61;1/07/2007;416497.41;219874.23;721550.61;416497.41;219874.23;721550.61;416497.41;219874.23;721550.61
2007;8;411088.53;236565.57;736620.9;1/08/2007;411088.53;236565.57;736620.9;411088.529999999;236565.57;736620.899999999;411088.529999999;236565.57;736620.899999999
2007;9;390568.99;207241.84;669587.88;1/09/2007;390568.99;207241.84;669587.88;390568.99;207241.84;669587.879999999;390568.99;207241.84;669587.879999999
2007;10;419001.81;224750.77;738702.86;1/10/2007;419001.81;224750.77;738702.86;419001.81;224750.77;738702.859999999;419001.81;224750.77;738702.859999999
2007;11;417490.77;218116.79;779547.05;1/11/2007;417490.77;218116.79;779547.05;417490.769999999;218116.789999999;779547.05;417490.769999999;218116.789999999;779547.05
2007;12;438542.79;252394.11;768886.87;1/12/2007;438542.79;252394.11;768886.87;438542.79;252394.109999999;768886.87;438542.79;252394.109999999;768886.87
2008;1;403266.74;213645.39;797668.91;1/01/2008;403266.74;213645.39;797668.91;403266.739999999;213645.39;797668.91;403266.739999999;213645.39;797668.91
2008;2;407735.55;215873.67;794000.25;1/02/2008;407735.55;215873.67;794000.25;407735.549999999;215873.67;794000.25;407735.549999999;215873.67;794000.25
2008;3;424157.28;233761.07;776026.79;1/03/2008;424157.28;233761.07;776026.79;424157.279999999;233761.07;776026.79;424157.279999999;233761.07;776026.79
2008;4;399193.53;233687.28;807725.77;1/04/2008;399193.53;233687.28;807725.77;399193.53;233687.279999999;807725.769999999;399193.53;233687.279999999;807725.769999999
2008;5;390882.63;236635.85;682326.18;1/05/2008;390882.63;236635.85;682326.18;390882.629999999;236635.85;682326.179999999;390882.629999999;236635.85;682326.179999999
